id,masterCategory,subCategory,articleType,,,,,,,
15970,Apparel,Topwear,Shirts,,,,,,,
39386,Apparel,Bottomwear,Jeans,,,,,,,
59263,Accessories,Watches,Watches,,,,,,,
21379,Apparel,Bottomwear,Track Pants,,,,,,,
53759,Apparel,Topwear,Tshirts,,,,,,,
1855,Apparel,Topwear,Tshirts,,,,,,,
30805,Apparel,Topwear,Shirts,,,,,,,
26960,Apparel,Topwear,Shirts,,,,,,,
29114,Accessories,Socks,Socks,,,,,,,
30039,Accessories,Watches,Watches,,,,,,,
9204,Footwear,Shoes,Casual Shoes,,,,,,,
48123,Accessories,Belts,Belts,,,,,,,
18653,Footwear,Flip Flops,Flip Flops,,,,,,,
47957,Accessories,Bags,Handbags,,,,,,,
46885,Footwear,Flip Flops,Flip Flops,,,,,,,
12369,Apparel,Topwear,Shirts,,,,,,,
29928,Accessories,Watches,Watches,,,,,,,
42419,Apparel,Topwear,Tops,,,,,,,
51832,Apparel,Innerwear,Bra,,,,,,,
47359,Accessories,Bags,Handbags,,,,,,,
17429,Accessories,Watches,Watches,,,,,,,
12967,Footwear,Sandal,Sandals,,,,,,,
6842,Accessories,Shoe Accessories,Shoe Accessories,,,,,,,
13089,Apparel,Topwear,Sweatshirts,,,,,,,
18461,Personal Care,Fragrance,Deodorant,,,,,,,
9036,Footwear,Shoes,Formal Shoes,,,,,,,
48311,Accessories,Jewellery,Bracelet,,,,,,,
7990,Apparel,Topwear,Tshirts,,,,,,,
56019,Personal Care,Lips,Lipstick,,,,,,,
21977,Accessories,Bags,Handbags,,,,,,,
37812,Apparel,Topwear,Shirts,,,,,,,
4729,Apparel,Topwear,Tshirts,,,,,,,
56825,Apparel,Topwear,Shirts,,,,,,,
39988,Footwear,Shoes,Casual Shoes,,,,,,,
59051,Footwear,Shoes,Flats,,,,,,,
20099,Apparel,Topwear,Kurtas,,,,,,,
58183,Accessories,Bags,Handbags,,,,,,,
29742,Accessories,Bags,Handbags,,,,,,,
51658,Accessories,Watches,Watches,,,,,,,
3954,Apparel,Topwear,Tshirts,,,,,,,
18839,Accessories,Belts,Belts,,,,,,,
2886,Footwear,Shoes,Flats,,,,,,,
23278,Accessories,Watches,Watches,,,,,,,
28690,Apparel,Topwear,Kurtas,,,,,,,
8580,Apparel,Topwear,Waistcoat,,,,,,,
3168,Footwear,Shoes,Sports Shoes,,,,,,,
18005,Apparel,Bottomwear,Shorts,,,,,,,
17871,Apparel,Innerwear,Briefs,,,,,,,
9452,Apparel,Topwear,Shirts,,,,,,,
38402,Accessories,Belts,Belts,,,,,,,
44984,Accessories,Watches,Watches,,,,,,,
10268,Footwear,Shoes,Formal Shoes,,,,,,,
45856,Apparel,Topwear,Kurtas,,,,,,,
32138,Apparel,Innerwear,Briefs,,,,,,,
59435,Footwear,Shoes,Formal Shoes,,,,,,,
5891,Apparel,Topwear,Tshirts,,,,,,,
38630,Apparel,Topwear,Tshirts,,,,,,,
4943,Apparel,Topwear,Shirts,,,,,,,
11188,Accessories,Watches,Watches,,,,,,,
10866,Apparel,Topwear,Tshirts,,,,,,,
59607,Apparel,Saree,Sarees,,,,,,,
15528,Apparel,Topwear,Tshirts,,,,,,,
45258,Accessories,Watches,Watches,,,,,,,
42841,Accessories,Bags,Handbags,,,,,,,
22198,Footwear,Shoes,Casual Shoes,,,,,,,
29570,Footwear,Shoes,Casual Shoes,,,,,,,
43993,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
6628,Footwear,Shoes,Sports Shoes,,,,,,,
54924,Apparel,Bottomwear,Shorts,,,,,,,
26538,Footwear,Shoes,Casual Shoes,,,,,,,
35913,Accessories,Bags,Handbags,,,,,,,
49495,Footwear,Shoes,Casual Shoes,,,,,,,
9660,Apparel,Topwear,Shirts,,,,,,,
2288,Apparel,Topwear,Tshirts,,,,,,,
23876,Apparel,Topwear,Sweatshirts,,,,,,,
18237,Apparel,Topwear,Tshirts,,,,,,,
54118,Footwear,Shoes,Heels,,,,,,,
2872,Footwear,Shoes,Heels,,,,,,,
49653,Apparel,Topwear,Tops,,,,,,,
8574,Footwear,Sandal,Sandals,,,,,,,
16957,Accessories,Eyewear,Sunglasses,,,,,,,
19123,Footwear,Flip Flops,Flip Flops,,,,,,,
13419,Apparel,Topwear,Tshirts,,,,,,,
17885,Apparel,Innerwear,Innerwear Vests,,,,,,,
43369,Footwear,Flip Flops,Flip Flops,,,,,,,
48781,Accessories,Jewellery,Pendant,,,,,,,
44970,Accessories,Watches,Watches,,,,,,,
56489,Personal Care,Nails,Nail Polish,,,,,,,
39524,Accessories,Bags,Laptop Bag,,,,,,,
33822,Footwear,Shoes,Sports Shoes,,,,,,,
58513,Apparel,Topwear,Tops,,,,,,,
25947,Accessories,Scarves,Scarves,,,,,,,
52029,Apparel,Topwear,Rain Jacket,,,,,,,
5865,Apparel,Topwear,Tshirts,,,,,,,
39716,Apparel,Dress,Dresses,,,,,,,
25349,Apparel,Innerwear,Briefs,,,,,,,
11940,Footwear,Sandal,Sandals,,,,,,,
55802,Apparel,Loungewear and Nightwear,Night suits,,,,,,,
29584,Apparel,Topwear,Tshirts,,,,,,,
43967,Personal Care,Fragrance,Perfume and Body Mist,,,,,,,
28456,Apparel,Bottomwear,Skirts,,,,,,,
